Book_Title,Author,Length
Icebreaker,By: Hannah Grace,Length: 13 hrs and 23 mins
Little Bird,By: Ria Wilde,Length: 6 hrs and 18 mins
Hell Divers X: Fallout,By: Nicholas Sansbury Smith,Length: 12 hrs and 58 mins
Standing Dead,By: Margaret Mizushima,Length: 9 hrs and 38 mins
A Hacker's Mind,By: Bruce Schneier,Length: 8 hrs and 3 mins
The Truth About Wuhan,By: Dr. Andrew G. Huff,Length: 14 hrs and 10 mins
Fifteen Hours,By: Mitchel Scanlon,Length: 7 hrs and 19 mins
Alien: Enemy of My Enemy,By: Mary SanGiovanni,Length: 8 hrs and 49 mins
This Young Master's Mother Is Mighty,By: D.C. Haenlien,Length: 14 hrs and 21 mins
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
The Freedom Shortcut,By: Mikkelsen Twins,Length: 4 hrs and 21 mins
It Didn't Start with You,By: Mark Wolynn,Length: 8 hrs and 16 mins
Your Weight Is Not the Problem,By: Lyndi Cohen,Length: 9 hrs and 37 mins
Confronting Saddam Hussein,By: Melvyn P. Leffler,Length: 11 hrs and 26 mins
Magitech Chronicles Omnibus,By: Chris Fox,Length: 108 hrs and 51 mins
"Mud, Blood, and Magic",By: A. D. Krabis,Length: 14 hrs and 17 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
The 6 Types of Working Genius,By: Patrick M. Lencioni,Length: 4 hrs and 11 mins
The Inmate,By: Freida McFadden,Length: 8 hrs and 5 mins
The Cabinet of Dr. Leng,"By: Douglas Preston, Lincoln Child",Length: 14 hrs and 24 mins
The Lost Hero,By: Rick Riordan,Length: 16 hrs and 33 mins
While Time Remains,By: Yeonmi Park,Length: 6 hrs and 28 mins
Old Babes in the Wood,By: Margaret Atwood,Length: 8 hrs and 44 mins
The Numbers,By: Nick Pirog,Length: 9 hrs and 32 mins
Forever Paired,By: Kathleen Brooks,Length: 7 hrs and 20 mins
Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
Heart of Sherwood,By: Edale Lane,Length: 13 hrs and 54 mins
Until You,By: K. Bromberg,Length: 8 hrs and 27 mins
Edin,By: Lily Mayne,Length: 13 hrs and 17 mins
Eat Your Way to Calm,By: Kenneth G. Moore,Length: 42 mins
A Score to Settle,"By: Matthew Costello, Neil Richards",Length: 3 hrs and 18 mins
Badges of Dorkdom: The Complete Series,By: Theo Hodges,Length: 40 hrs and 17 mins
Codependent No More,By: Melody Beattie,Length: 8 hrs and 42 mins
God of the Feast,By: Kevin Sinclair,Length: 34 hrs and 9 mins
Vicious Bonds,By: Shanora Williams,Length: 12 hrs and 24 mins
Every Man a King,By: Walter Mosley,Length: 7 hrs and 57 mins
Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
The Witching Hour,By: Anne Rice,Length: 50 hrs and 1 min
Good to Great,By: Jim Collins,Length: 10 hrs and 1 min
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",By: Timothy Ferriss,Length: 13 hrs and 1 min
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
The Obesity Code,By: Dr. Jason Fung,Length: 10 hrs and 9 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
Simply Lies,By: David Baldacci,Length: 11 hrs and 45 mins
The Night of the Party,By: Anna-Lou Weatherley,Length: 10 hrs and 12 mins
The Moonlight Child,By: Karen McQuestion,Length: 9 hrs and 52 mins
The Essays of Warren Buffett,"By: Lawrence A. Cunningham, Warren E. Buffett",Length: 15 hrs and 32 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
The Night of the Party,By: Anna-Lou Weatherley,Length: 10 hrs and 12 mins
The Moonlight Child,By: Karen McQuestion,Length: 9 hrs and 52 mins
The Essays of Warren Buffett,"By: Lawrence A. Cunningham, Warren E. Buffett",Length: 15 hrs and 32 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
The Total Money Makeover,By: Dave Ramsey,Length: 3 hrs and 41 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Body of Proof,"By: Jeremiah J. Johnston, Gary Habermas - foreword",Length: 5 hrs and 10 mins
Falling Embers,By: Romeo Alexander,Length: 8 hrs and 50 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
The Girlfriend,By: K.L. Slater,Length: 8 hrs and 28 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Body of Proof,"By: Jeremiah J. Johnston, Gary Habermas - foreword",Length: 5 hrs and 10 mins
Falling Embers,By: Romeo Alexander,Length: 8 hrs and 50 mins
Archer's Voice,By: Mia Sheridan,Length: 11 hrs and 7 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
The Girlfriend,By: K.L. Slater,Length: 8 hrs and 28 mins
The Missing Orc,"By: Robyn Wideman, Shannon Wideman",Length: 10 hrs and 17 mins
The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 14 hrs and 50 mins
Drama Free,By: Nedra Glover Tawwab,Length: 7 hrs and 36 mins
Only Bad Options,By: Jennifer Estep,Length: 12 hrs and 35 mins
"So Long, Chester Wheeler",By: Catherine Ryan Hyde,Length: 9 hrs and 11 mins
Raising Healthy Teenagers,By: Thomas Kersting,Length: 4 hrs and 58 mins
Flowers for the Devil,By: Vlad Kahany,Length: 11 hrs and 28 mins
The Power to Change,By: Craig Groeschel,Length: 5 hrs and 42 mins
Brain Energy,By: Christopher M. Palmer MD,Length: 12 hrs and 18 mins
Brain Energy,By: Christopher M. Palmer MD,Length: 12 hrs and 18 mins
The Last Party,By: Clare Mackintosh,Length: 13 hrs and 17 mins
Shadow and Bone,By: Leigh Bardugo,Length: 9 hrs and 21 mins
Principles,By: Ray Dalio,Length: 16 hrs and 5 mins
The Fine Print,By: Lauren Asher,Length: 11 hrs and 8 mins
Monroe Doctrine: Volume VI,"By: James Rosone, Miranda Watson",Length: 9 hrs and 54 mins
The Auction,By: Maggie Cole,Length: 9 hrs and 54 mins
Psycho Beasts,By: Jasmine Mas,Length: 15 hrs and 15 mins
Graves on the Fens,By: Joy Ellis,Length: 10 hrs and 50 mins
Run on Red,By: Noelle West Ihli,Length: 7 hrs and 28 mins
Murder at the Serpentine Bridge,By: Andrea Penrose,Length: 11 hrs and 58 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Lord Farleigh and Miss Frost,By: Sally Britton,Length: 6 hrs and 59 mins
Angron: The Red Angel,By: David Guymer,Length: 10 hrs and 57 mins
The Daughters of Madurai,By: Rajasree Variyar,Length: 14 hrs and 6 mins
The Sisters of Sea View,By: Julie Klassen,Length: 15 hrs and 32 mins
Tower of the Noobs,By: Ryan Rimmel,Length: 16 hrs and 40 mins
The Courage to Be Free,By: Ron DeSantis,Length: 8 hrs and 59 mins
Fae's Refuge,"By: M. Lynn, Melissa A. Craven",Length: 7 hrs and 10 mins
Vacuuming in the Nude,By: Peggy Rowe,Length: 6 hrs and 7 mins
Secret Tradecraft of Elite Advisors,By: David C. Baker,Length: 3 hrs and 5 mins
Problem Child,By: Heather Long,Length: 9 hrs and 19 mins
Dismount,By: Lucia Franco,Length: 13 hrs and 24 mins
Whiskey Lies,By: Brittanee Nicole,Length: 11 hrs and 48 mins
In a Jam,By: Kate Canterbary,Length: 15 hrs and 54 mins
Parenting,"By: Andy Stanley, Sandra Stanley",Length: 5 hrs and 7 mins
Dragon,By: Kat Blackthorne,Length: 10 hrs and 14 mins
Hell Bent,By: Leigh Bardugo,Length: 16 hrs and 16 mins
The Earth Transformed,By: Peter Frankopan,Length: 29 hrs and 11 mins
The Cursed Among Us,By: John Durgin,Length: 6 hrs and 32 mins
A Game of Hearts,By: Joanna Barker,Length: 11 hrs and 16 mins
The Black Stone,By: Robert E. Howard,Length: 1 hr and 18 mins
It Ends with Violence,By: Elle Thorpe,Length: 9 hrs and 56 mins
Death's Cathedral,"By: Ian Fortey, Ron Ripley",Length: 7 hrs and 26 mins
The House at the End of the World,By: Dean Koontz,Length: 10 hrs and 22 mins
The Hidden Prince,By: Tessa Afshar,Length: 11 hrs and 47 mins
Prince in Disguise,By: Tavia Lark,Length: 8 hrs and 4 mins
When He's Torn,By: Suzanne Wright,Length: 11 hrs
Ghost's Whisper,By: Ella Summers,Length: 10 hrs and 40 mins
Miss Newbury's List,By: Megan Walker,Length: 8 hrs and 6 mins
Skinwalkers at the Pentagon,"By: James T. Lacatski DEng, Colm A. Kelleher PhD, George Knapp, various",Length: 6 hrs and 12 mins
Throttled,By: Lauren Asher,Length: 10 hrs and 21 mins
Birnam Wood,By: Eleanor Catton,Length: 12 hrs and 47 mins
The Devil's Chessboard,By: David Talbot,Length: 25 hrs and 23 mins
El Hombre Mas Rico De Babilonia [The Richest Man in Babylon],By: George S. Clason,Length: 5 hrs and 20 mins
The Dance of Anger,By: Harriet Lerner,Length: 6 hrs and 50 mins
Bridge to Terabithia,By: Katherine Paterson,Length: 3 hrs and 30 mins
Caraval,By: Stephanie Garber,Length: 10 hrs and 36 mins
Rabbit,"By: Patricia Williams, Jeannine Amber",Length: 7 hrs and 23 mins
Who,"By: Geoff Smart, Randy Street",Length: 4 hrs and 47 mins
Red Mars,By: Kim Stanley Robinson,Length: 23 hrs and 51 mins
The Tiger,By: John Vaillant,Length: 12 hrs and 5 mins
Manufacturing Consent,"By: Edward S. Herman, Noam Chomsky",Length: 15 hrs and 24 mins
The Big Picture,By: Sean Carroll,Length: 17 hrs and 22 mins
The Golem and the Jinni,By: Helene Wecker,Length: 19 hrs and 42 mins
Flying in the Face of Fear,By: Kim Campbell,Length: 7 hrs and 40 mins
Cheating Death,By: Dr. Rand McClain,Length: 8 hrs and 1 min
Blue Burn,By: M.R. Forbes,Length: 7 hrs and 47 mins
The Never King,By: Nikki St. Crowe,Length: 4 hrs and 35 mins
Why Do I Do What I Don't Want to Do?,"By: Jonathan ""JP"" Pokluda, Jon Green - contributor",Length: 5 hrs and 5 mins
Into the Abyss,By: Carol Shaben,Length: 10 hrs and 1 min
The Urgent Life,By: Bozoma Saint John,Length: 7 hrs and 56 mins
Devil's Delight,By: M. C. Beaton,Length: 7 hrs and 16 mins
Empire of the Summer Moon,By: S. C. Gwynne,Length: 15 hrs and 9 mins
Outliers,By: Malcolm Gladwell,Length: 7 hrs and 18 mins
Payback in Death,By: J. D. Robb,Length: 13 hrs
Bountyhunter,"By: Heide Goody, Iain Grant",Length: 11 hrs and 2 mins
Murder Book,By: Thomas Perry,Length: 11 hrs and 35 mins
When Things Fall Apart,By: Pema Chodron,Length: 5 hrs and 18 mins
The Roman Triumph,By: Mary Beard,Length: 13 hrs and 10 mins
Dragon's Mage,"By: James Haddock, Gus James",Length: 6 hrs and 22 mins
Something Bleu,By: K.L. Hall,Length: 2 hrs and 1 min
Backpacking Through Bedlam,By: Seanan McGuire,Length: 12 hrs and 54 mins
The Power of One More,By: Ed Mylett,Length: 5 hrs and 19 mins
The Last Orphan,By: Gregg Hurwitz,Length: 11 hrs and 46 mins
Good Boundaries and Goodbyes,By: Lysa TerKeurst,Length: 7 hrs and 27 mins
The Wrong Bride,By: Catharina Maura,Length: 11 hrs and 22 mins
Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
A Feast for Crows,By: George R.R. Martin,Length: 33 hrs and 51 mins
A Dance with Dragons,By: George R.R. Martin,Length: 48 hrs and 55 mins
Demon Blade,By: R. L. King,Length: 16 hrs and 9 mins
Objective Secure,By: Nick Lavery,Length: 8 hrs and 42 mins
Querido Yo [Dear Me],By: Alejandro Sequera,Length: 3 hrs and 37 mins
Talk Like TED,By: Carmine Gallo,Length: 7 hrs and 42 mins
Angela's Ashes,"By: Frank McCourt, Jeannette Walls - introduction",Length: 15 hrs and 8 mins
Behind Her Lives,By: Briana Cole,Length: 9 hrs and 28 mins
Based on a True Story,By: Norm Macdonald,Length: 7 hrs and 18 mins
Give and Take,By: Adam M. Grant PhD,Length: 11 hrs and 50 mins
The Choice,By: Dr. Edith Eva Eger,Length: 12 hrs and 26 mins
"Many Lives, Many Masters",By: Brian L. Weiss M.D.,Length: 1 hr and 28 mins
Allegiant,By: Veronica Roth,Length: 11 hrs and 51 mins
The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
The Party Is Over,By: Lisa Renee Jones,Length: 4 hrs and 57 mins
Magpie Murders,By: Anthony Horowitz,Length: 15 hrs and 48 mins
On the Road,By: Jack Kerouac,Length: 11 hrs and 8 mins
Life 3.0,By: Max Tegmark,Length: 13 hrs and 29 mins
Angels and Demons,By: Dan Brown,Length: 18 hrs and 28 mins
One of Us Is Lying (TV Series Tie-In Edition),By: Karen M. McManus,Length: 10 hrs and 43 mins
In the Woods,By: Tana French,Length: 20 hrs and 24 mins
Hidden Bodies,By: Caroline Kepnes,Length: 13 hrs and 3 mins
Braiding Sweetgrass,By: Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Forest of Foes,By: Matthew Harffy,Length: 14 hrs and 28 mins
A Day of Fallen Night,By: Samantha Shannon,Length: 38 hrs and 48 mins
The Nazi Conspiracy,"By: Brad Meltzer, Josh Mensch",Length: 10 hrs and 42 mins
All the Dangerous Things,By: Stacy Willingham,Length: 10 hrs
The Wild Robot,By: Peter Brown,Length: 4 hrs and 14 mins
My Story,"By: Elizabeth Smart, Chris Stewart",Length: 9 hrs and 12 mins
Mindsight,By: Daniel J. Siegel,Length: 11 hrs and 45 mins
Jesus Calling Updated and Expanded,By: Sarah Young,Length: 14 hrs and 22 mins
Giovanni's Room,By: James Baldwin,Length: 6 hrs and 49 mins
Lasher,By: Anne Rice,Length: 28 hrs and 30 mins
Norse Mythology,By: Neil Gaiman,Length: 6 hrs and 29 mins
Money: Master the Game,By: Tony Robbins,Length: 21 hrs and 3 mins
Unbroken Bonds,By: J Bree,Length: 10 hrs and 49 mins
Of Love and Forge,By: Carly Spade,Length: 11 hrs and 45 mins
Her Final Breath,By: Carolyn Arnold,Length: 8 hrs and 42 mins
Kindred,By: Octavia E. Butler,Length: 10 hrs and 55 mins
Building a StoryBrand,By: Donald Miller,Length: 4 hrs and 56 mins
The Duke and I,By: Julia Quinn,Length: 12 hrs and 9 mins
Make Your Bed,By: William H. McRaven,Length: 1 hr and 53 mins
The Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 34 mins
"Padre Rico, Padre Pobre [Rich Dad, Poor Dad]",By: Robert T. Kiyosaki,Length: 6 hrs and 24 mins
Girl in Pieces,By: Kathleen Glasgow,Length: 10 hrs and 42 mins
Eclipse,By: Stephenie Meyer,Length: 16 hrs and 26 mins
The Power of Your Subconscious Mind,By: Joseph Murphy,Length: 6 hrs and 58 mins
The Deal,By: Elle Kennedy,Length: 12 hrs and 26 mins
The Outsiders,By: S. E. Hinton,Length: 5 hrs and 9 mins
The Universe Has Your Back,By: Gabrielle Bernstein,Length: 4 hrs and 30 mins
Napoleon,By: Andrew Roberts,Length: 32 hrs and 56 mins
Wildflower,By: Drew Barrymore,Length: 7 hrs and 5 mins
The Ramona Quimby Audio Collection,"By: Beverly Cleary, Tracy Dockray",Length: 18 hrs and 56 mins
The Goldfinch,By: Donna Tartt,Length: 32 hrs and 24 mins
Oh Crap! Potty Training,By: Jamie Glowacki,Length: 8 hrs and 4 mins
The Monk Who Sold His Ferrari,By: Robin Sharma,Length: 6 hrs and 34 mins
The Speed of Trust,By: Stephen M. R. Covey,Length: 12 hrs and 13 mins
A Walk in the Woods,By: Bill Bryson,Length: 9 hrs and 44 mins
A Little Life,By: Hanya Yanagihara,Length: 32 hrs and 51 mins
How Hitchens Can Save the Left,By: Matt Johnson,Length: 12 hrs and 38 mins
Fraser,By: Susan May Warren,Length: 8 hrs and 38 mins
Rocky Start,By: Annabeth Albert,Length: 9 hrs and 20 mins
Into the West,By: Mercedes Lackey,Length: 16 hrs and 56 mins
Between,By: L. L. Starling,Length: 32 hrs and 9 mins
Phoenix's Refrain,By: Ella Summers,Length: 11 hrs and 36 mins
The Phoenix Prophecy: Nova,By: Cara Clare,Length: 7 hrs and 3 mins
How Far Do You Want to Go?,By: John Catsimatidis,Length: 8 hrs and 7 mins
Love and Justice,"By: Jonathan Irons, Maya Moore Irons, Bryan Stevenson - foreword, Travis Thrasher",Length: 11 hrs and 4 mins
Murder at an Irish Bakery,By: Carlene O'Connor,Length: 9 hrs and 32 mins
Black Candle Women,By: Diane Marie Brown,Length: 12 hrs and 13 mins
Legends & Lattes,By: Travis Baldree,Length: 7 hrs and 19 mins
She Is a Haunting,By: Trang Thanh Tran,Length: 9 hrs and 41 mins
Psalm 91: God's Umbrella of Protection,By: Peggy Joyce Ruth,Length: 4 hrs and 2 mins
Before the Storm,By: James D. Shipman,Length: 10 hrs and 26 mins
The Umpire Is Out,"By: Dale Scott, Rob Neyer - contributor, Billy Bean - foreword",Length: 10 hrs and 15 mins
El Código de la Abundancia [The Code of Abundance],By: Jorge Muñoz Parral,Length: 4 hrs and 26 mins
Murder Your Employer,By: Rupert Holmes,Length: 14 hrs and 13 mins
Dark Alliance Turbulent Waters,By: I. T. Lucas,Length: 8 hrs and 21 mins
Princess and the Player,By: Ilsa Madden-Mills,Length: 8 hrs and 57 mins
Inevitable Disclosure,By: Nicky James,Length: 11 hrs and 52 mins
Napoleon Hill's Secret,By: Don Green,Length: 6 hrs and 41 mins
The Art of Embodiment for Men,By: GS Youngblood,Length: 5 hrs and 50 mins
